"text","text_en","cmp_code","eu_code"
"Oppose plans to replace Personal Independence Payments (PIP) cash payments with ‘vouchers’,",NA,"504",NA
"and in the long term reform intrusive eligibility tests like PIP.",NA,"504",NA
"Make it mandatory for councils to provide free transport for 16–18-year-old pupils with Special Educational Needs and Disability.",NA,"504",NA
"Ensure disabled workers have the in-job support they need,",NA,"503",NA
"as well as proper pay and conditions.",NA,"503",NA
"Champion the right to inclusive welfare support, and housing under the principles of universal design.",NA,"504",NA
"Children’s social care",NA,"H",NA
"The scandal of inadequate and under-funded care for looked-after children cannot be allowed to continue.",NA,"504",NA
"Elected Greens will push for an additional £3bn to be provided to local authorities to enable them to provide high-quality children’s social care.",NA,"504",NA
"Elected Greens will also push for children in foster care or who have been adopted to have consistent access to a trained counsellor until it is no longer required.",NA,"504",NA
"We would fund councils to extend staying put arrangements, so fostered young people can choose to stay with foster parents until they are 21.",NA,"504",NA
"Providing Fairer, Greener Homes for All",NA,"H",NA
"There are over a million households on council waiting lists.",NA,"504",NA
"In England you could expect to spend around 8.3 times annual average earnings to buy a home.",NA,"503",NA
"Over 130,000 children are growing up in temporary accommodation.",NA,"503",NA
"This national housing crisis is the result of 40 years of governments choosing to treat houses simply as assets rather than as homes,",NA,"403",NA
"and of neglecting to build new social housing.",NA,"504",NA
"Building thousands of unaffordable homes isn’t the answer though – the priority should be providing everybody with a safe, warm affordable home.",NA,"403",NA
"This means genuinely affordable homes, built to the right standards and in the right place, as part of flourishing communities.",NA,"606.1",NA
"It means that we need to make sure all homes are fit for a climate-changed world.",NA,"403",NA
"And it means protecting the rights of the millions of people who rent their homes.",NA,"403",NA
"Provide 150,000 new social homes a year",NA,"504",NA
"and end the so-called ‘right to buy’, so that these homes can belong to communities for ever.",NA,"403",NA
"Empower local authorities to introduce rent controls.",NA,"403",NA
"End no-fault evictions.",NA,"403",NA
"Introduce a Fairer, Greener Homes Guarantee_to ensure warm, safe homes that are well insulated.",NA,"501",NA
"Transform the planning system so new developments come with access to public services",NA,"403",NA
"and green spaces are protected.",NA,"501",NA
"Right Homes, Right Place, Right Price Charter",NA,"H",NA
"Our Right Homes, Right Place, Right Price Charter will simultaneously protect valuable green space for communities, reduce climate emissions,",NA,"501",NA
"tackle fuel poverty",NA,"503",NA
"and provide genuinely affordable housing.",NA,"403",NA
"Councils and national governments should be working together to deliver the homes people need, where they need them and at rents and prices they can afford.",NA,"403",NA
"Yet speculators and developers are currently allowed to chase the biggest profits and ignore local communities.",NA,"403",NA
"Greens will support local councils to provide good quality, affordable social housing in places where people live and work.",NA,"504",NA
"And we will ensure largescale developments are always supported by new infrastructure such as GP surgeries,",NA,"504",NA
"bus services, cycling and walking networks,",NA,"411",NA
"and extra places at nurseries and schools.",NA,"506",NA
"All new developments should be accompanied by the extra investment needed to enhance local services too, and so that residents don’t have to rely on cars to live a full life.",NA,"501",NA
"We will transform the planning system to reduce the environmental impact of new construction",NA,"416.2",NA
"and to require local authorities to spread small developments across their areas, where appropriate, rather than building huge new estates.",NA,"403",NA
"Greens are also committed to protecting the Green Belt and ensuring everybody has easy access to a green space.",NA,"501",NA
"Elected Greens will campaign to change building regulations so all new homes meet Passivhaus or equivalent standards",NA,"403",NA
"and to require house builders heating systems such as heat pumps for all new homes.",NA,"416.2",NA
"We will upgrade the Minimum Energy Efficiency Standard to EPC C.",NA,"416.2",NA
"Our Fairer, Greener Homes Guarantee",NA,"H",NA
"Most people’s energy bills are unnecessarily high because the UK has the worst insulated homes in Europe.",NA,"416.2",NA
"By investing in energy efficiency to reduce the loss of heat, we can help everyone live in a warmer home and lower their bills: the cheapest bill is the one you don’t have to pay.",NA,"416.2",NA
"Elected Greens will invest: £29bn over the next five years to insulate homes to EPC B standard or above, as part of a ten-year programme.",NA,"416.2",NA
"£12bn of this will be to retrofit the social housing stock",NA,"416.2",NA
"and £17bn as grants to retrofit privately owned homes to a similar standard.",NA,"416.2",NA
"£4bn over the next five years to insulate other public buildings to a high standard.",NA,"416.2",NA
"This is primarily for schools and hospitals, as part of a ten-year programme.",NA,"416.2",NA
"£1bn will be made available as grants to retrofit private sector buildings to a similarly high standard.",NA,"416.2",NA
"£9bn over the next five years for heating systems (e.g. heat pumps) for homes and other buildings.",NA,"416.2",NA
"£7bn over the next five years to adapt homes to avoid over-heating in the hotter summers.",NA,"416.2",NA
"The Green Party will introduce a local-authorityled, street-by-street or area-based retrofit programme to insulate our homes,",NA,"416.2",NA
"to provide nonfossil- fuel heat",NA,"416.2",NA
"and start to adapt our buildings to the more extreme weather.",NA,"416.2",NA
"To achieve this, we will put in place the finance and foster the community buy-in needed for this national effort.",NA,"606.1",NA
"Financing our Fairer, Greener Homes Guarantee will come from common sense changes in each housing sector:",NA,"416.2",NA
"Social housing:",NA,"H",NA
"We want to see an end to competitive bidding for the social housing decarbonisation fund, so funding is there for all local authorities.",NA,"504",NA
"Owner occupiers: We will push for homeowners (freeholders and leaseholders) to more easily access property-linked finance to pay for the work needed on their property.",NA,"403",NA
"Private rental sector: We will push for tenants to have the right to insist that their landlords access property-linked finance on their behalf.",NA,"403",NA
"Landlords will not need to provide any up-front finance, but they would have to repay the debt and will benefit from the improved value of the property.",NA,"403",NA
"Rent controls would prevent them passing repayments straight on to tenants.",NA,"403",NA
"Social housing",NA,"H",NA
"Our priority would be to increase Council and Housing Association provision of homes offered at low ‘social rents’ to 150,000 new homes a year, as soon as possible.",NA,"504",NA
"We will end the ‘right to buy’ so that homes continue to belong to the communities who funded them and available to those who need a warm, secure home.",NA,"504",NA
"Elected Greens will push for these new homes to be delivered through various measures, including new build and refurbishment.",NA,"504",NA
"There are estimated to be around a million empty homes across all tenures in the United Kingdom.",NA,"504",NA
"We would empower local authorities to bring empty homes back into use.",NA,"504",NA
"The failure to maintain social housing properly is a national scandal.",NA,"504",NA
"Green MPs will push Ministers to ensure all social housing stock is brought up to and kept at a decent standard, with fair funding for Councils and Housing Associations to get this done.",NA,"403",NA
