"text","text_en","cmp_code","eu_code"
"and delivering the Zero Emission Vehicle Mandate to support manufacturers to safeguard skilled British jobs.",NA,"701",NA
"We will support the growth and decarbonisation of our aviation sector.",NA,"416.2",NA
"We will back British Sustainable Aviation Fuel through our SAF mandate, an industry-backed revenue support mechanism and investment in future aviation technology.",NA,"416.2",NA
"We will support domestic flights including through Public Service Obligations, protecting vital routes within the UK, including to islands and remote areas.",NA,"416.2",NA
"We will back our maritime sector, including shipping and ports, as it decarbonises.",NA,"416.2",NA
"Recognising the current challenges with cross-Solent transport, we will establish a review to explore all options to provide more choice and drive down fares.",NA,"403",NA
"We will foster our science and innovation expertise in the space industry.",NA,"411",NA
"Speeding up infrastructure delivery",NA,"H",NA
"We can only achieve our infrastructure ambitions if we continue to simplify the planning system to make it easier to build, faster.",NA,"303",NA
"We will speed up the average time it takes to sign off major infrastructure projects from four years to one.",NA,"303",NA
"We will: Introduce reforms to outdated EU red tape to better protect nature",NA,"501",NA
"while enabling the building of new homes, new prisons and new energy schemes.",NA,"411",NA
"Along with the reforms to the EU’s bureaucratic environmental impact assessment regime that we have already started, these changes will speed up local and national infrastructure planning systems.",NA,"411",NA
"Ensure any requirements to offset the impact of new infrastructure and homes on an area are proportionate, without compromising environmental outcomes.",NA,"416.2",NA
"Reduce the cost of infrastructure by allowing quicker changes to consented projects.",NA,"303",NA
"Ensure National Policy Statements are regularly updated.",NA,"303",NA
"Focus the role of statutory consultees in the planning system on improving projects in line with clearer objectives, rather than piecemeal requirements that add delays.",NA,"303",NA
"End frivolous legal challenges that frustrate infrastructure delivery by amending the law so judicial reviews that don’t have merit do not waste court time.",NA,"303",NA
"Securing the UK’s position as a world leader in innovation",NA,"H",NA
"Artificial intelligence (AI) will accelerate human progress in the 21st century, just as the steam engine and electricity did in the 19th century.",NA,"411",NA
"The UK is well positioned to spearhead this transformation and is already leading global work on AI safety.",NA,"411",NA
"Over the last 14 years, the Conservatives have turned the UK into a science and innovation superpower.",NA,"411",NA
"The UK now has the highest level of direct government funding and tax support for business research and development (R&D) of any country in the OECD.",NA,"411",NA
"We pioneered the fastest development and deployment of the Covid vaccine.",NA,"504",NA
"The UK has Europe’s leading tech ecosystem.",NA,"411",NA
"We have secured improved financial terms to join Horizon.",NA,"411",NA
"In the next Parliament, we will: Increase public spending on R&D to £22 billion a year, up from £20 billion this year.",NA,"411",NA
"Maintain our R&D tax reliefs.",NA,"402",NA
"Recent changes worth £280 million a year have simplified and improved R&D tax reliefs, including by bringing more SMEs into scope of the relief.",NA,"402",NA
"Continue investing over £1.5 billion in large-scale compute clusters, assembling the raw processing power so we can take advantage of the potential of AI",NA,"411",NA
"and support research into its safe and responsible use.",NA,"411",NA
"Push forward with our Advanced Manufacturing Plan, providing a £4.5 billion commitment to secure strategic manufacturing sectors including automotive, aerospace, life sciences and clean energy.",NA,"411",NA
"Build on the success of our nine specialist Catapults, which support innovation and de-risk the transition from research and delivery, distributing £1.6 billion of funding across the country by 2028.",NA,"411",NA
"We are proud to be the leading market for starting and growing a FinTech firm – part of our world-leading financial and professional services",NA,"411",NA
"which supports the employment of almost 2.5 million people.",NA,"701",NA
"We will build on the policies set out in the Edinburgh Reforms so that the UK continues to be the world’s most innovative and competitive global financial centre.",NA,"410",NA
"We will support the City of London’s position as the leading global market through the implementation of the Mansion House reforms and measures such as a retail sale of NatWest shares.",NA,"410",NA
"We will maintain the highest standards of consumer protection and prudential regulation to ensure there can never be a repeat of the banking crisis under the last Labour Government.",NA,"403",NA
"The UK car industry is the jewel of our manufacturing crown.",NA,"410",NA
"Last year the UK built over a million vehicles and secured £23.7 billion of private and public investment.",NA,"410",NA
"We secured a £4 billion investment in a new battery gigafactory to be built in Somerset, safeguarding the future of the Jaguar Land Rover plant in the West Midlands for decades to come.",NA,"410",NA
"Contrary to dire warnings that Brexit would lead to major brands leaving our shores.",NA,"110",NA
"Nissan is delivering up to £2 billion of new investment to produce two new electric vehicle models in Sunderland",NA,"410",NA
"and BMW made a £600 million investment to produce iconic all-electric Mini Coopers in Oxfordshire.",NA,"410",NA
"We will always back our world-leading automotive industry, which faces unprecedented competition from China in the electric vehicles market.",NA,"410",NA
"We stand ready to support domestic car manufacturers if there is evidence other countries are breaking global trade rules.",NA,"403",NA
"Building new trade links to help British businesses thrive",NA,"H",NA
"The UK is a global exporting superpower and is now the fourth biggest exporter in the world, having overtaken France, the Netherlands, and Japan.",NA,"410",NA
"Having left the EU, we have seized the opportunity to negotiate trade deals that suit the UK, boosting our exports",NA,"110",NA
"and creating jobs at home.",NA,"701",NA
"UK exports are growing, reaching £850 billion last year and service exports are at an all-time high.",NA,"410",NA
"We have secured trade deals with 73 countries plus the EU",NA,"410",NA
"and last year we removed £1 million of trade barriers every single hour.",NA,"401",NA
"Last year we signed a deal to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP), a modern and ambitious trade deal spanning economies across Asia and the Pacific.",NA,"401",NA
"With the UK as a member, it will account for 15% of global GDP and in time is expected to boost UK GDP by around £2 billion a year.",NA,"410",NA
"We will complete free trade agreements with India and with the Gulf Cooperation Council, home to some of the world’s biggest investors.",NA,"401",NA
"And we will continue to pursue free trade agreements with countries such as Israel and Switzerland.",NA,"401",NA
"Our Trade and Cooperation Agreement (TCA) is the most comprehensive FTA the EU has ever agreed.",NA,"401",NA
"We will build on it, but will not agree to anything in the forthcoming review of the TCA that would infringe our legal sovereignty or involve submission to the CJEU or dynamic alignment.",NA,"403",NA
"We will take a tough approach on ensuring that the EU are meeting their commitments under the TCA and not discriminating against our exporters.",NA,"401",NA
"We have always been clear the NHS and the services it provides are not on the table in trade negotiations.",NA,"403",NA
"All food and drink products imported into the UK, including those from countries we have trade agreements with, must comply with the UK’s high standards.",NA,"403",NA
"We will always stand up for UK agriculture in our trade deals.",NA,"703.1",NA
"The US is our single largest trading partner.",NA,"101",NA
"We have signed the Atlantic Declaration and deals with eight US states, including Florida and Texas, with a combined GDP of £5.7 trillion.",NA,"101",NA
"And we will look to agree a free trade agreement with the US when they are ready to do so.",NA,"401",NA
"Using our Brexit freedoms to deliver regulatory reform",NA,"H",NA
"Conservatives believe in reducing the burden of regulation, freeing up businesses to thrive.",NA,"401",NA
"We want small businesses free to innovate,",NA,"402",NA
"balanced with proportionate protections for consumers and working people.",NA,"403",NA
"We will never introduce Labour’s package of Frenchstyle union rules, which are a threat to jobs, our competitiveness and our economy.",NA,"702",NA
