timestamp_utc,cache_key,model,subdir
2026-08-31T18:41:52.086835+00:00,2024_reform_framed_gpt-5_run1,gpt-5,summaries
2026-08-31T18:42:33.322502+00:00,2024_reform_framed_gpt-5_run2,gpt-5,summaries
2026-08-31T18:43:29.555328+00:00,2024_reform_framed_gpt-5_run3,gpt-5,summaries
2026-08-31T18:44:18.711388+00:00,2024_reform_framed_gpt-5_run4,gpt-5,summaries
2026-08-31T18:44:55.583604+00:00,2024_reform_framed_gpt-5_run5,gpt-5,summaries
2026-08-31T18:45:27.436374+00:00,2024_reform_distorted_gpt-5_run1,gpt-5,summaries
2026-08-31T18:46:15.368015+00:00,2024_reform_distorted_gpt-5_run2,gpt-5,summaries
2026-08-31T18:46:50.168586+00:00,2024_reform_distorted_gpt-5_run3,gpt-5,summaries
2026-08-31T18:47:37.149979+00:00,2024_reform_distorted_gpt-5_run4,gpt-5,summaries
2026-08-31T18:48:23.857723+00:00,2024_reform_distorted_gpt-5_run5,gpt-5,summaries
2026-08-31T18:48:56.423883+00:00,2024_reform_anonymised_gpt-5_run1,gpt-5,summaries
2026-08-31T18:49:32.595724+00:00,2024_reform_anonymised_gpt-5_run2,gpt-5,summaries
2026-08-31T18:50:12.532511+00:00,2024_reform_anonymised_gpt-5_run3,gpt-5,summaries
2026-08-31T18:50:57.535563+00:00,2024_reform_anonymised_gpt-5_run4,gpt-5,summaries
2026-08-31T18:51:34.395649+00:00,2024_reform_anonymised_gpt-5_run5,gpt-5,summaries
2026-08-31T18:53:23.859641+00:00,extract_2024_reform_minimal_gpt-5_run1,gpt-5,extractions
2026-08-31T18:55:15.235235+00:00,extract_2024_reform_minimal_gpt-5_run2,gpt-5,extractions
2026-08-31T18:56:44.131029+00:00,extract_2024_reform_minimal_gpt-5_run3,gpt-5,extractions
2026-08-31T18:57:43.109273+00:00,extract_2024_reform_minimal_gpt-5_run4,gpt-5,extractions
2026-08-31T18:59:56.704602+00:00,extract_2024_reform_minimal_gpt-5_run5,gpt-5,extractions
2026-08-31T19:02:27.072993+00:00,extract_2024_reform_neutral_gpt-5_run1,gpt-5,extractions
2026-08-31T19:04:49.391982+00:00,extract_2024_reform_neutral_gpt-5_run2,gpt-5,extractions
2026-08-31T19:07:36.523067+00:00,extract_2024_reform_neutral_gpt-5_run3,gpt-5,extractions
